start	end	text
0	6560	ça veut dire rien à signaler c'est un acronyme tu sais comme ça va c'est bon
6560	11440	laisse tomber au moins mon père était fier de moi alors rémi tu dois te sentir
11440	17720	mieux tu sers une noble cause noble nous sommes des voleurs papa et qu'est ce
17720	22200	qu'on vole en plus je te le demande des ordures ce n'est pas du vol puisque
22200	26080	personne n'en veut si personne n'en veut pourquoi on les vole alors disons
26080	30960	que nous n'avons pas le même point de vue il y a une chose dont je suis sûr si
30960	34080	nous sommes ce que nous mangeons alors je ne veux manger que de bonnes choses
34080	38520	mais pour mon père la nourriture c'est du carburant si tu fais la fine bouche
38520	42280	un c4 tu finiras par tomber en panne sèche alors tu tais et tu manges ce qui
42280	45120	se présente mais tant qu'un volet de la nourriture pourquoi ne pas voler de
45120	49120	bonnes choses en cuisine où il n'y a pas de mort aura primo nous ne sommes pas
49120	53120	des voleurs secondo n'entre jamais dans une cuisine et n'approche pas des hommes
53160	57480	c'est dangereux je sais que les hommes sont nos ennemis mais il y a quelque
57480	62360	chose en eux qui me il ne se contente pas de survivre ils inventent il crée
62360	66880	regardez ce qu'il faut en cuisine comment vous expliquer la grande cuisine
66880	71680	c'est de la musique pour l'essence des couleurs pour le palais l'excellence à
71680	75480	tous les niveaux il suffit d'en avoir conscience et de prendre le temps de
75480	77840	savourer
78840	83600	ah gusteau avait raison
84600	91360	ah fabuleux chaque saveur était unique
93560	98640	mais si vous la combiner à une autre vous obteniez quelque chose de totalement
98640	101040	nouveau
104640	109560	dorénavant je menais une double vie
114760	123760	seul et mille était au courant j'ai trouvé un champignon allez t'as toujours
123760	126520	des bonnes idées aide moi à trouver une cachette il ne me
126520	130040	comprend pas mais au moins avec lui je peux parler librement pourquoi tu
130040	133960	marches comme ça j'en avais assez d'être sans arrêt obligé de me laver les pattes
133960	137200	quand tu penses qu'on marche sur les mêmes pattes dont on se sert pour se
137200	140880	nourrir quand tu penses à tout ce qu'on avale je pense que ça quand je mange je
140880	143920	ne tiens pas à retrouver le goût de ce que mes pattes ont foulé comme tu veux
143920	148320	mais si papa il doit marcher comme ça ça va pas nous plaire qu'est-ce que tu
148320	151120	nous as trouvé là
152000	158080	qui a trouvé du fromage et pas n'importe quel fromage de la tome de chèvre
158080	166280	fermière ça va très bien aller avec mon champignon et du romarin du romarin
166280	172880	avec attend attend attend quelques brins de filtre c'est ça balance le tout sur
172880	176600	le tas de compost et on finira bien par mais ça va pas non on va pas jeter ça
176600	181080	aux ordures c'est exceptionnel mais il faut qu'on aille retrouver
